molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,intermediate,5830.0
CHEMBL565061,CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,inactive,10000.0
CHEMBL565612,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,inactive,10000.0
CHEMBL578601,CCCc1cc(N2CCC(N)CC2)nc2sc(C(N)=O)c(N)c12,intermediate,7000.0
CHEMBL568922,CCCc1cc(N2CCNCC2)nc2sc(C(N)=O)c(N)c12,intermediate,7000.0
CHEMBL576887,CCCc1cc(N2CCC(O)CC2)nc2sc(C(N)=O)c(N)c12,intermediate,7000.0
CHEMBL576989,CCCc1cc(N2CCCC(O)C2)nc2sc(C(N)=O)c(N)c12,intermediate,7000.0
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,intermediate,7800.0
CHEMBL1090143,O=C(Nc1cccc(-c2ncnc3sc(-c4ccncc4)cc23)c1)c1cccc(C(F)(F)F)c1,inactive,10000.0
CHEMBL1242977,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2C)n1,intermediate,8000.0
CHEMBL1243200,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)c3ccccc3Nc3ccccc3)cc2)n1,active,1000.0
CHEMBL1243326,CNc1nccc(-c2cccnc2Oc2ccc(Nc3nnc(-c4ccc(F)cc4)c4ccccc34)cc2)n1,inactive,25000.0
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,active,2.5
CHEMBL1290746,Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnn(-c2ccccc2F)c1N,inactive,15000.0
CHEMBL2012519,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,inactive,10000.0
CHEMBL1651521,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,inactive,10000.0
CHEMBL1761510,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCCNC3)c[nH]c12,intermediate,1258.93
CHEMBL1761512,CCCS(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4ccccc4)cc23)CC1,intermediate,1584.89
CHEMBL1738710,Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,inactive,10000.0
CHEMBL1808264,CC(C)c1nc(-c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1,active,10.0
